;year;winter_cumulative_events;winter_cumulative_duration;winter_cumulative_deficit;winter_max_deficit;spring_cumulative_events;spring_cumulative_duration;spring_cumulative_deficit;spring_max_deficit;summer_cumulative_events;summer_cumulative_duration;summer_cumulative_deficit;summer_max_deficit;autumn_cumulative_events;autumn_cumulative_duration;autumn_cumulative_deficit;autumn_max_deficit
23;1924;3;60;3522.9561643835596;109.53260273972603;2;17;1073.0542465753424;147.53260273972603;2;48;6140.564931506846;203.53260273972603;2;38;3138.2389041095876;141.53260273972603
24;1925;1;78;7421.543013698623;175.53260273972603;2;6;53.19561643835618;17.53260273972603;1;76;13583.477808219171;242.53260273972603;3;35;2623.6410958904103;130.53260273972603
25;1926;4;32;3245.043287671231;195.53260273972603;1;2;5.065205479452061;2.5326027397260304;2;26;2133.8476712328757;127.53260273972603;3;36;1644.1736986301366;93.53260273972603
26;1927;1;8;156.26082191780824;38.53260273972603;0;0;0.0;0.0;3;9;137.79342465753427;42.53260273972603;2;60;4973.956164383559;130.53260273972603
27;1928;2;46;4571.499726027396;227.53260273972603;2;11;451.85863013698633;73.53260273972603;1;163;35560.81424657542;295.53260273972603;0;0;0.0;0.0
28;1929;2;89;14470.40164383561;239.53260273972603;0;0;0.0;0.0;1;203;43484.11835616438;306.53260273972603;0;0;0.0;0.0
29;1930;3;110;16388.586301369854;257.53260273972603;0;0;0.0;0.0;3;73;16694.879999999997;308.53260273972603;2;50;8941.630136986298;261.53260273972603
30;1931;0;0;0.0;0.0;0;0;0.0;0.0;2;88;9951.869041095884;231.53260273972603;4;25;647.3150684931508;55.53260273972603
31;1932;2;27;1767.3802739726025;111.53260273972603;3;60;7470.956164383556;189.53260273972603;2;23;1899.2498630136984;161.53260273972603;2;79;13221.07561643835;236.53260273972603
32;1933;2;83;12439.206027397255;268.53260273972603;6;89;10963.40164383561;233.53260273972603;1;235;49007.16164383556;286.53260273972603;0;0;0.0;0.0
33;1934;0;0;0.0;0.0;2;293;62738.0526027395;336.53260273972603;0;0;0.0;0.0;0;0;0.0;0.0
34;1935;0;0;0.0;0.0;1;6;456.1956164383562;105.53260273972603;1;142;35501.629589041164;314.53260273972603;0;0;0.0;0.0
35;1936;3;71;7589.814794520544;195.53260273972603;4;36;1569.173698630137;87.53260273972603;3;123;16599.510136986293;228.53260273972603;1;1;6.5326027397260304;6.5326027397260304
36;1937;3;69;5500.749589041093;176.53260273972603;0;0;0.0;0.0;2;81;9491.140821917803;213.53260273972603;3;134;13832.368767123278;206.53260273972603
37;1938;0;0;0.0;0.0;1;1;6.5326027397260304;6.5326027397260304;4;85;12868.271232876707;241.53260273972603;1;42;2794.3693150684903;110.53260273972603
38;1939;2;57;5793.358356164382;204.53260273972603;0;0;0.0;0.0;3;19;940.1194520547946;99.53260273972603;4;41;3091.836712328766;161.53260273972603
39;1940;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0
40;1941;3;17;561.0542465753425;79.53260273972603;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0
41;1942;0;0;0.0;0.0;2;14;160.45643835616443;22.53260273972603;2;33;2666.5758904109566;128.53260273972603;1;77;11516.010410958897;204.53260273972603
42;1943;3;31;2428.5106849315057;155.53260273972603;3;25;1175.3150684931506;95.53260273972603;1;254;51618.28109589036;271.53260273972603;0;0;0.0;0.0
43;1944;1;2;48.06520547945206;27.53260273972603;1;17;595.0542465753425;49.53260273972603;2;21;944.1846575342466;92.53260273972603;1;83;12979.206027397253;221.53260273972603
44;1945;3;50;5633.630136986298;178.53260273972603;0;0;0.0;0.0;5;62;5245.021369863011;200.53260273972603;2;58;6011.890958904107;178.53260273972603
45;1946;6;23;617.2498630136987;64.53260273972603;1;48;5212.564931506847;200.53260273972603;2;96;12812.129863013692;198.53260273972603;1;24;1641.7824657534238;114.53260273972603
46;1947;2;109;11033.053698630127;222.53260273972603;0;0;0.0;0.0;1;97;19454.662465753434;302.53260273972603;4;136;36945.43397260277;339.53260273972603
47;1948;0;0;0.0;0.0;1;82;13232.673424657527;261.53260273972603;1;29;4157.445479452053;251.53260273972603;1;196;37814.390136986345;271.53260273972603
48;1949;0;0;0.0;0.0;1;19;1267.1194520547942;137.53260273972603;2;187;34012.59671232886;280.53260273972603;0;0;0.0;0.0
49;1950;1;18;2574.5868493150674;175.53260273972603;1;15;1075.9890410958906;112.53260273972603;1;180;38750.86849315072;301.53260273972603;0;0;0.0;0.0
50;1951;2;45;4023.9671232876685;195.53260273972603;4;41;1936.8367123287662;125.53260273972603;1;278;51892.06356164373;284.53260273972603;0;0;0.0;0.0
51;1952;0;0;0.0;0.0;1;7;207.7282191780822;41.53260273972603;2;93;15408.532054794512;302.53260273972603;3;81;14096.140821917803;315.53260273972603
52;1953;2;19;589.1194520547946;59.53260273972603;1;65;7276.619178082186;203.53260273972603;1;191;45167.72712328768;320.53260273972603;0;0;0.0;0.0
53;1954;1;83;17357.206027397282;298.53260273972603;1;1;8.53260273972603;8.53260273972603;2;67;11279.68438356164;282.53260273972603;4;115;12194.249315068486;175.53260273972603
54;1955;0;0;0.0;0.0;1;25;963.3150684931508;80.53260273972603;2;39;1720.7715068493146;103.53260273972603;2;74;5129.412602739721;134.53260273972603
55;1956;0;0;0.0;0.0;2;28;1230.9128767123289;94.53260273972603;1;1;4.5326027397260304;4.5326027397260304;2;63;4451.553972602736;119.53260273972603
56;1957;0;0;0.0;0.0;0;0;0.0;0.0;2;65;7657.619178082187;212.53260273972603;2;33;1454.575890410959;87.53260273972603
57;1958;4;32;1829.0432876712318;100.53260273972603;1;4;30.130410958904122;16.53260273972603;0;0;0.0;0.0;3;55;3018.29315068493;115.53260273972603
58;1959;2;17;642.0542465753425;63.53260273972603;4;20;433.6520547945206;49.53260273972603;2;90;11064.934246575336;242.53260273972603;1;137;27362.96657534256;256.53260273972603
59;1960;1;45;4556.967123287668;150.53260273972603;1;118;16970.847123287665;211.53260273972603;0;0;0.0;0.0;1;52;6934.6953424657495;196.53260273972603
